round,player1,player2,answer1,answer2,points1,points2,total1,total2
15,act_gpt4,act_tft,J,J,8,8,120,120
16,act_gpt4,act_tft,J,J,8,8,128,128
17,act_gpt4,act_tft,J,J,8,8,136,136
18,act_gpt4,act_tft,J,J,8,8,144,144
19,act_gpt4,act_tft,J,J,8,8,152,152
20,act_gpt4,act_tft,J,J,8,8,160,160
1,act_gpt4,act_tftt,J,J,8,8,8,8
2,act_gpt4,act_tftt,J,J,8,8,16,16
3,act_gpt4,act_tftt,J,J,8,8,24,24
4,act_gpt4,act_tftt,J,J,8,8,32,32
5,act_gpt4,act_tftt,J,J,8,8,40,40
6,act_gpt4,act_tftt,J,J,8,8,48,48
7,act_gpt4,act_tftt,J,J,8,8,56,56
8,act_gpt4,act_tftt,J,J,8,8,64,64
9,act_gpt4,act_tftt,J,J,8,8,72,72
10,act_gpt4,act_tftt,J,J,8,8,80,80
11,act_gpt4,act_tftt,J,J,8,8,88,88
12,act_gpt4,act_tftt,J,J,8,8,96,96
13,act_gpt4,act_tftt,J,J,8,8,104,104
14,act_gpt4,act_tftt,J,J,8,8,112,112
15,act_gpt4,act_tftt,J,J,8,8,120,120
16,act_gpt4,act_tftt,J,J,8,8,128,128
17,act_gpt4,act_tftt,J,J,8,8,136,136
18,act_gpt4,act_tftt,J,J,8,8,144,144
19,act_gpt4,act_tftt,J,J,8,8,152,152
20,act_gpt4,act_tftt,J,J,8,8,160,160
1,act_gpt4,act_stft,J,F,0,10,0,10
2,act_gpt4,act_stft,F,J,10,0,10,10
3,act_gpt4,act_stft,F,F,5,5,15,15
4,act_gpt4,act_stft,J,F,0,10,15,25
5,act_gpt4,act_stft,F,J,10,0,25,25
6,act_gpt4,act_stft,F,F,5,5,30,30
7,act_gpt4,act_stft,J,F,0,10,30,40
8,act_gpt4,act_stft,F,J,10,0,40,40
9,act_gpt4,act_stft,F,F,5,5,45,45
10,act_gpt4,act_stft,J,F,0,10,45,55
11,act_gpt4,act_stft,F,J,10,0,55,55
12,act_gpt4,act_stft,F,F,5,5,60,60
13,act_gpt4,act_stft,J,F,0,10,60,70
14,act_gpt4,act_stft,F,J,10,0,70,70
15,act_gpt4,act_stft,F,F,5,5,75,75
16,act_gpt4,act_stft,J,F,0,10,75,85
17,act_gpt4,act_stft,F,J,10,0,85,85
18,act_gpt4,act_stft,F,F,5,5,90,90
19,act_gpt4,act_stft,J,F,0,10,90,100
20,act_gpt4,act_stft,F,J,10,0,100,100
1,act_gpt4,act_rtft,J,F,0,10,0,10
2,act_gpt4,act_rtft,F,F,5,5,5,15
3,act_gpt4,act_rtft,F,J,10,0,15,15
4,act_gpt4,act_rtft,J,J,8,8,23,23
5,act_gpt4,act_rtft,J,F,0,10,23,33
6,act_gpt4,act_rtft,F,F,5,5,28,38
7,act_gpt4,act_rtft,F,J,10,0,38,38
8,act_gpt4,act_rtft,J,J,8,8,46,46
9,act_gpt4,act_rtft,J,F,0,10,46,56
10,act_gpt4,act_rtft,F,F,5,5,51,61
11,act_gpt4,act_rtft,F,J,10,0,61,61
12,act_gpt4,act_rtft,J,J,8,8,69,69
13,act_gpt4,act_rtft,J,F,0,10,69,79
14,act_gpt4,act_rtft,F,F,5,5,74,84
15,act_gpt4,act_rtft,F,J,10,0,84,84
16,act_gpt4,act_rtft,J,J,8,8,92,92
17,act_gpt4,act_rtft,J,F,0,10,92,102
18,act_gpt4,act_rtft,F,F,5,5,97,107
19,act_gpt4,act_rtft,F,J,10,0,107,107
20,act_gpt4,act_rtft,J,J,8,8,115,115
1,act_gpt4,act_htft,J,F,0,10,0,10
2,act_gpt4,act_htft,F,J,10,0,10,10
3,act_gpt4,act_htft,J,F,0,10,10,20
4,act_gpt4,act_htft,F,F,5,5,15,25
5,act_gpt4,act_htft,J,F,0,10,15,35
6,act_gpt4,act_htft,F,F,5,5,20,40
7,act_gpt4,act_htft,J,F,0,10,20,50
8,act_gpt4,act_htft,F,F,5,5,25,55
9,act_gpt4,act_htft,J,F,0,10,25,65
10,act_gpt4,act_htft,F,F,5,5,30,70
11,act_gpt4,act_htft,F,F,5,5,35,75
12,act_gpt4,act_htft,F,F,5,5,40,80
13,act_gpt4,act_htft,F,F,5,5,45,85
14,act_gpt4,act_htft,F,F,5,5,50,90
15,act_gpt4,act_htft,F,F,5,5,55,95
16,act_gpt4,act_htft,F,F,5,5,60,100
17,act_gpt4,act_htft,F,F,5,5,65,105
18,act_gpt4,act_htft,F,F,5,5,70,110
19,act_gpt4,act_htft,F,F,5,5,75,115
20,act_gpt4,act_htft,F,F,5,5,80,120
1,act_gpt4,act_np10,J,J,8,8,8,8
2,act_gpt4,act_np10,J,J,8,8,16,16
3,act_gpt4,act_np10,J,J,8,8,24,24
4,act_gpt4,act_np10,J,J,8,8,32,32
5,act_gpt4,act_np10,J,J,8,8,40,40
6,act_gpt4,act_np10,J,J,8,8,48,48
7,act_gpt4,act_np10,J,J,8,8,56,56
8,act_gpt4,act_np10,J,J,8,8,64,64
9,act_gpt4,act_np10,J,J,8,8,72,72
10,act_gpt4,act_np10,J,J,8,8,80,80
11,act_gpt4,act_np10,J,J,8,8,88,88
12,act_gpt4,act_np10,J,J,8,8,96,96
13,act_gpt4,act_np10,J,J,8,8,104,104
14,act_gpt4,act_np10,J,J,8,8,112,112
15,act_gpt4,act_np10,J,J,8,8,120,120
16,act_gpt4,act_np10,J,J,8,8,128,128
17,act_gpt4,act_np10,J,J,8,8,136,136
18,act_gpt4,act_np10,J,J,8,8,144,144
19,act_gpt4,act_np10,J,J,8,8,152,152
20,act_gpt4,act_np10,J,J,8,8,160,160
1,act_gpt4,act_np20,J,J,8,8,8,8
2,act_gpt4,act_np20,J,J,8,8,16,16
3,act_gpt4,act_np20,J,J,8,8,24,24
4,act_gpt4,act_np20,J,F,0,10,24,34
5,act_gpt4,act_np20,F,J,10,0,34,34
6,act_gpt4,act_np20,J,F,0,10,34,44
7,act_gpt4,act_np20,F,J,10,0,44,44
8,act_gpt4,act_np20,F,F,5,5,49,49
9,act_gpt4,act_np20,J,F,0,10,49,59
10,act_gpt4,act_np20,F,J,10,0,59,59
11,act_gpt4,act_np20,F,F,5,5,64,64
12,act_gpt4,act_np20,F,F,5,5,69,69
13,act_gpt4,act_np20,F,F,5,5,74,74
14,act_gpt4,act_np20,F,F,5,5,79,79
15,act_gpt4,act_np20,F,F,5,5,84,84
16,act_gpt4,act_np20,F,F,5,5,89,89
17,act_gpt4,act_np20,F,F,5,5,94,94
18,act_gpt4,act_np20,F,F,5,5,99,99
19,act_gpt4,act_np20,F,F,5,5,104,104
20,act_gpt4,act_np20,F,F,5,5,109,109
