round,player1,player2,answer1,answer2,points1,points2,total1,total2
19,act_gpt4,act_stft,J,F,0,10,90,100
20,act_gpt4,act_stft,F,J,10,0,100,100
1,act_gpt4,act_rtft,J,F,0,10,0,10
2,act_gpt4,act_rtft,F,F,5,5,5,15
3,act_gpt4,act_rtft,F,J,10,0,15,15
4,act_gpt4,act_rtft,J,J,8,8,23,23
5,act_gpt4,act_rtft,J,F,0,10,23,33
6,act_gpt4,act_rtft,F,F,5,5,28,38
7,act_gpt4,act_rtft,F,J,10,0,38,38
8,act_gpt4,act_rtft,J,J,8,8,46,46
9,act_gpt4,act_rtft,J,F,0,10,46,56
10,act_gpt4,act_rtft,F,F,5,5,51,61
11,act_gpt4,act_rtft,F,J,10,0,61,61
12,act_gpt4,act_rtft,J,J,8,8,69,69
13,act_gpt4,act_rtft,J,F,0,10,69,79
14,act_gpt4,act_rtft,F,F,5,5,74,84
15,act_gpt4,act_rtft,F,J,10,0,84,84
16,act_gpt4,act_rtft,J,J,8,8,92,92
17,act_gpt4,act_rtft,J,F,0,10,92,102
18,act_gpt4,act_rtft,F,F,5,5,97,107
19,act_gpt4,act_rtft,F,J,10,0,107,107
20,act_gpt4,act_rtft,J,J,8,8,115,115
1,act_gpt4,act_htft,J,F,0,10,0,10
2,act_gpt4,act_htft,F,F,5,5,5,15
3,act_gpt4,act_htft,F,F,5,5,10,20
4,act_gpt4,act_htft,F,F,5,5,15,25
5,act_gpt4,act_htft,F,F,5,5,20,30
6,act_gpt4,act_htft,F,F,5,5,25,35
7,act_gpt4,act_htft,F,F,5,5,30,40
8,act_gpt4,act_htft,F,F,5,5,35,45
9,act_gpt4,act_htft,F,F,5,5,40,50
10,act_gpt4,act_htft,F,F,5,5,45,55
11,act_gpt4,act_htft,F,F,5,5,50,60
12,act_gpt4,act_htft,F,F,5,5,55,65
13,act_gpt4,act_htft,F,F,5,5,60,70
14,act_gpt4,act_htft,F,F,5,5,65,75
15,act_gpt4,act_htft,F,F,5,5,70,80
16,act_gpt4,act_htft,F,F,5,5,75,85
17,act_gpt4,act_htft,F,F,5,5,80,90
18,act_gpt4,act_htft,F,F,5,5,85,95
19,act_gpt4,act_htft,F,F,5,5,90,100
20,act_gpt4,act_htft,F,F,5,5,95,105
1,act_gpt4,act_np10,J,J,8,8,8,8
2,act_gpt4,act_np10,J,J,8,8,16,16
3,act_gpt4,act_np10,J,F,0,10,16,26
4,act_gpt4,act_np10,F,J,10,0,26,26
5,act_gpt4,act_np10,J,F,0,10,26,36
6,act_gpt4,act_np10,F,J,10,0,36,36
7,act_gpt4,act_np10,J,F,0,10,36,46
8,act_gpt4,act_np10,F,J,10,0,46,46
9,act_gpt4,act_np10,J,F,0,10,46,56
10,act_gpt4,act_np10,F,J,10,0,56,56
11,act_gpt4,act_np10,J,F,0,10,56,66
12,act_gpt4,act_np10,F,J,10,0,66,66
13,act_gpt4,act_np10,J,F,0,10,66,76
14,act_gpt4,act_np10,F,J,10,0,76,76
15,act_gpt4,act_np10,J,F,0,10,76,86
16,act_gpt4,act_np10,F,J,10,0,86,86
17,act_gpt4,act_np10,J,F,0,10,86,96
18,act_gpt4,act_np10,F,J,10,0,96,96
19,act_gpt4,act_np10,J,F,0,10,96,106
20,act_gpt4,act_np10,F,J,10,0,106,106
1,act_gpt4,act_np20,J,J,8,8,8,8
2,act_gpt4,act_np20,J,J,8,8,16,16
3,act_gpt4,act_np20,J,J,8,8,24,24
4,act_gpt4,act_np20,J,J,8,8,32,32
5,act_gpt4,act_np20,J,J,8,8,40,40
6,act_gpt4,act_np20,J,J,8,8,48,48
7,act_gpt4,act_np20,J,J,8,8,56,56
8,act_gpt4,act_np20,J,J,8,8,64,64
9,act_gpt4,act_np20,J,F,0,10,64,74
10,act_gpt4,act_np20,F,J,10,0,74,74
11,act_gpt4,act_np20,J,F,0,10,74,84
12,act_gpt4,act_np20,F,F,5,5,79,89
13,act_gpt4,act_np20,F,F,5,5,84,94
14,act_gpt4,act_np20,F,F,5,5,89,99
15,act_gpt4,act_np20,F,F,5,5,94,104
16,act_gpt4,act_np20,F,F,5,5,99,109
17,act_gpt4,act_np20,F,F,5,5,104,114
18,act_gpt4,act_np20,F,F,5,5,109,119
19,act_gpt4,act_np20,F,F,5,5,114,124
20,act_gpt4,act_np20,F,F,5,5,119,129
1,act_tft,act_gpt4,J,J,8,8,8,8
2,act_tft,act_gpt4,J,J,8,8,16,16
3,act_tft,act_gpt4,J,J,8,8,24,24
4,act_tft,act_gpt4,J,J,8,8,32,32
5,act_tft,act_gpt4,J,J,8,8,40,40
6,act_tft,act_gpt4,J,J,8,8,48,48
7,act_tft,act_gpt4,J,J,8,8,56,56
8,act_tft,act_gpt4,J,J,8,8,64,64
9,act_tft,act_gpt4,J,J,8,8,72,72
10,act_tft,act_gpt4,J,J,8,8,80,80
11,act_tft,act_gpt4,J,J,8,8,88,88
12,act_tft,act_gpt4,J,J,8,8,96,96
13,act_tft,act_gpt4,J,J,8,8,104,104
14,act_tft,act_gpt4,J,J,8,8,112,112
15,act_tft,act_gpt4,J,J,8,8,120,120
16,act_tft,act_gpt4,J,J,8,8,128,128
17,act_tft,act_gpt4,J,J,8,8,136,136
18,act_tft,act_gpt4,J,J,8,8,144,144
19,act_tft,act_gpt4,J,J,8,8,152,152
20,act_tft,act_gpt4,J,J,8,8,160,160
1,act_tft,act_tft,J,J,8,8,8,8
2,act_tft,act_tft,J,J,8,8,16,16
3,act_tft,act_tft,J,J,8,8,24,24
4,act_tft,act_tft,J,J,8,8,32,32
5,act_tft,act_tft,J,J,8,8,40,40
6,act_tft,act_tft,J,J,8,8,48,48
7,act_tft,act_tft,J,J,8,8,56,56
8,act_tft,act_tft,J,J,8,8,64,64
9,act_tft,act_tft,J,J,8,8,72,72
10,act_tft,act_tft,J,J,8,8,80,80
11,act_tft,act_tft,J,J,8,8,88,88
12,act_tft,act_tft,J,J,8,8,96,96
13,act_tft,act_tft,J,J,8,8,104,104
14,act_tft,act_tft,J,J,8,8,112,112
15,act_tft,act_tft,J,J,8,8,120,120
16,act_tft,act_tft,J,J,8,8,128,128
17,act_tft,act_tft,J,J,8,8,136,136
18,act_tft,act_tft,J,J,8,8,144,144
19,act_tft,act_tft,J,J,8,8,152,152
20,act_tft,act_tft,J,J,8,8,160,160
1,act_tft,act_tftt,J,J,8,8,8,8
2,act_tft,act_tftt,J,J,8,8,16,16
3,act_tft,act_tftt,J,J,8,8,24,24
4,act_tft,act_tftt,J,J,8,8,32,32
5,act_tft,act_tftt,J,J,8,8,40,40
6,act_tft,act_tftt,J,J,8,8,48,48
7,act_tft,act_tftt,J,J,8,8,56,56
8,act_tft,act_tftt,J,J,8,8,64,64
9,act_tft,act_tftt,J,J,8,8,72,72
10,act_tft,act_tftt,J,J,8,8,80,80
11,act_tft,act_tftt,J,J,8,8,88,88
12,act_tft,act_tftt,J,J,8,8,96,96
13,act_tft,act_tftt,J,J,8,8,104,104
14,act_tft,act_tftt,J,J,8,8,112,112
15,act_tft,act_tftt,J,J,8,8,120,120
16,act_tft,act_tftt,J,J,8,8,128,128
17,act_tft,act_tftt,J,J,8,8,136,136
18,act_tft,act_tftt,J,J,8,8,144,144
19,act_tft,act_tftt,J,J,8,8,152,152
20,act_tft,act_tftt,J,J,8,8,160,160
1,act_tft,act_stft,J,F,0,10,0,10
2,act_tft,act_stft,F,J,10,0,10,10
3,act_tft,act_stft,J,F,0,10,10,20
4,act_tft,act_stft,F,J,10,0,20,20
5,act_tft,act_stft,J,F,0,10,20,30
6,act_tft,act_stft,F,J,10,0,30,30
7,act_tft,act_stft,J,F,0,10,30,40
8,act_tft,act_stft,F,J,10,0,40,40
9,act_tft,act_stft,J,F,0,10,40,50
10,act_tft,act_stft,F,J,10,0,50,50
11,act_tft,act_stft,J,F,0,10,50,60
12,act_tft,act_stft,F,J,10,0,60,60
13,act_tft,act_stft,J,F,0,10,60,70
14,act_tft,act_stft,F,J,10,0,70,70
15,act_tft,act_stft,J,F,0,10,70,80
16,act_tft,act_stft,F,J,10,0,80,80
17,act_tft,act_stft,J,F,0,10,80,90
18,act_tft,act_stft,F,J,10,0,90,90
19,act_tft,act_stft,J,F,0,10,90,100
20,act_tft,act_stft,F,J,10,0,100,100
1,act_tft,act_rtft,J,F,0,10,0,10
2,act_tft,act_rtft,F,F,5,5,5,15
3,act_tft,act_rtft,F,J,10,0,15,15
4,act_tft,act_rtft,J,J,8,8,23,23
5,act_tft,act_rtft,J,F,0,10,23,33
6,act_tft,act_rtft,F,F,5,5,28,38
7,act_tft,act_rtft,F,J,10,0,38,38
8,act_tft,act_rtft,J,J,8,8,46,46
9,act_tft,act_rtft,J,F,0,10,46,56
10,act_tft,act_rtft,F,F,5,5,51,61
11,act_tft,act_rtft,F,J,10,0,61,61
12,act_tft,act_rtft,J,J,8,8,69,69
13,act_tft,act_rtft,J,F,0,10,69,79
14,act_tft,act_rtft,F,F,5,5,74,84
15,act_tft,act_rtft,F,J,10,0,84,84
16,act_tft,act_rtft,J,J,8,8,92,92
17,act_tft,act_rtft,J,F,0,10,92,102
18,act_tft,act_rtft,F,F,5,5,97,107
19,act_tft,act_rtft,F,J,10,0,107,107
20,act_tft,act_rtft,J,J,8,8,115,115
1,act_tft,act_htft,J,F,0,10,0,10
2,act_tft,act_htft,F,F,5,5,5,15
3,act_tft,act_htft,F,F,5,5,10,20
4,act_tft,act_htft,F,F,5,5,15,25
5,act_tft,act_htft,F,F,5,5,20,30
6,act_tft,act_htft,F,F,5,5,25,35
7,act_tft,act_htft,F,F,5,5,30,40
8,act_tft,act_htft,F,F,5,5,35,45
9,act_tft,act_htft,F,F,5,5,40,50
10,act_tft,act_htft,F,F,5,5,45,55
11,act_tft,act_htft,F,F,5,5,50,60
12,act_tft,act_htft,F,F,5,5,55,65
13,act_tft,act_htft,F,F,5,5,60,70
14,act_tft,act_htft,F,F,5,5,65,75
15,act_tft,act_htft,F,F,5,5,70,80
16,act_tft,act_htft,F,F,5,5,75,85
17,act_tft,act_htft,F,F,5,5,80,90
18,act_tft,act_htft,F,F,5,5,85,95
19,act_tft,act_htft,F,F,5,5,90,100
20,act_tft,act_htft,F,F,5,5,95,105
1,act_tft,act_np10,J,J,8,8,8,8
2,act_tft,act_np10,J,J,8,8,16,16
3,act_tft,act_np10,J,J,8,8,24,24
4,act_tft,act_np10,J,J,8,8,32,32
5,act_tft,act_np10,J,J,8,8,40,40
6,act_tft,act_np10,J,J,8,8,48,48
7,act_tft,act_np10,J,J,8,8,56,56
8,act_tft,act_np10,J,J,8,8,64,64
9,act_tft,act_np10,J,J,8,8,72,72
10,act_tft,act_np10,J,J,8,8,80,80
11,act_tft,act_np10,J,J,8,8,88,88
12,act_tft,act_np10,J,J,8,8,96,96
13,act_tft,act_np10,J,J,8,8,104,104
14,act_tft,act_np10,J,J,8,8,112,112
15,act_tft,act_np10,J,J,8,8,120,120
16,act_tft,act_np10,J,J,8,8,128,128
17,act_tft,act_np10,J,J,8,8,136,136
18,act_tft,act_np10,J,J,8,8,144,144
19,act_tft,act_np10,J,J,8,8,152,152
20,act_tft,act_np10,J,J,8,8,160,160
1,act_tft,act_np20,J,J,8,8,8,8
2,act_tft,act_np20,J,J,8,8,16,16
3,act_tft,act_np20,J,J,8,8,24,24
4,act_tft,act_np20,J,J,8,8,32,32
5,act_tft,act_np20,J,F,0,10,32,42
6,act_tft,act_np20,F,J,10,0,42,42
7,act_tft,act_np20,J,F,0,10,42,52
8,act_tft,act_np20,F,J,10,0,52,52
9,act_tft,act_np20,J,F,0,10,52,62
10,act_tft,act_np20,F,J,10,0,62,62
11,act_tft,act_np20,J,F,0,10,62,72
12,act_tft,act_np20,F,J,10,0,72,72
13,act_tft,act_np20,J,F,0,10,72,82
14,act_tft,act_np20,F,J,10,0,82,82
15,act_tft,act_np20,J,F,0,10,82,92
16,act_tft,act_np20,F,J,10,0,92,92
17,act_tft,act_np20,J,F,0,10,92,102
18,act_tft,act_np20,F,J,10,0,102,102
19,act_tft,act_np20,J,F,0,10,102,112
20,act_tft,act_np20,F,J,10,0,112,112
1,act_tftt,act_gpt4,J,J,8,8,8,8
2,act_tftt,act_gpt4,J,J,8,8,16,16
3,act_tftt,act_gpt4,J,J,8,8,24,24
4,act_tftt,act_gpt4,J,J,8,8,32,32
5,act_tftt,act_gpt4,J,J,8,8,40,40
6,act_tftt,act_gpt4,J,J,8,8,48,48
7,act_tftt,act_gpt4,J,J,8,8,56,56
8,act_tftt,act_gpt4,J,J,8,8,64,64
9,act_tftt,act_gpt4,J,J,8,8,72,72
10,act_tftt,act_gpt4,J,J,8,8,80,80
11,act_tftt,act_gpt4,J,J,8,8,88,88
12,act_tftt,act_gpt4,J,J,8,8,96,96
13,act_tftt,act_gpt4,J,J,8,8,104,104
14,act_tftt,act_gpt4,J,J,8,8,112,112
15,act_tftt,act_gpt4,J,J,8,8,120,120
16,act_tftt,act_gpt4,J,J,8,8,128,128
17,act_tftt,act_gpt4,J,J,8,8,136,136
18,act_tftt,act_gpt4,J,J,8,8,144,144
19,act_tftt,act_gpt4,J,J,8,8,152,152
20,act_tftt,act_gpt4,J,J,8,8,160,160
1,act_tftt,act_tft,J,J,8,8,8,8
2,act_tftt,act_tft,J,J,8,8,16,16
3,act_tftt,act_tft,J,J,8,8,24,24
4,act_tftt,act_tft,J,J,8,8,32,32
5,act_tftt,act_tft,J,J,8,8,40,40
6,act_tftt,act_tft,J,J,8,8,48,48
7,act_tftt,act_tft,J,J,8,8,56,56
8,act_tftt,act_tft,J,J,8,8,64,64
9,act_tftt,act_tft,J,J,8,8,72,72
10,act_tftt,act_tft,J,J,8,8,80,80
11,act_tftt,act_tft,J,J,8,8,88,88
12,act_tftt,act_tft,J,J,8,8,96,96
13,act_tftt,act_tft,J,J,8,8,104,104
14,act_tftt,act_tft,J,J,8,8,112,112
15,act_tftt,act_tft,J,J,8,8,120,120
16,act_tftt,act_tft,J,J,8,8,128,128
17,act_tftt,act_tft,J,J,8,8,136,136
18,act_tftt,act_tft,J,J,8,8,144,144
19,act_tftt,act_tft,J,J,8,8,152,152
20,act_tftt,act_tft,J,J,8,8,160,160
1,act_tftt,act_tftt,J,J,8,8,8,8
2,act_tftt,act_tftt,J,J,8,8,16,16
3,act_tftt,act_tftt,J,J,8,8,24,24
4,act_tftt,act_tftt,J,J,8,8,32,32
5,act_tftt,act_tftt,J,J,8,8,40,40
6,act_tftt,act_tftt,J,J,8,8,48,48
7,act_tftt,act_tftt,J,J,8,8,56,56
8,act_tftt,act_tftt,J,J,8,8,64,64
9,act_tftt,act_tftt,J,J,8,8,72,72
10,act_tftt,act_tftt,J,J,8,8,80,80
11,act_tftt,act_tftt,J,J,8,8,88,88
12,act_tftt,act_tftt,J,J,8,8,96,96
13,act_tftt,act_tftt,J,J,8,8,104,104
14,act_tftt,act_tftt,J,J,8,8,112,112
15,act_tftt,act_tftt,J,J,8,8,120,120
16,act_tftt,act_tftt,J,J,8,8,128,128
17,act_tftt,act_tftt,J,J,8,8,136,136
18,act_tftt,act_tftt,J,J,8,8,144,144
19,act_tftt,act_tftt,J,J,8,8,152,152
20,act_tftt,act_tftt,J,J,8,8,160,160
1,act_tftt,act_stft,J,F,0,10,0,10
2,act_tftt,act_stft,J,J,8,8,8,18
3,act_tftt,act_stft,J,J,8,8,16,26
4,act_tftt,act_stft,J,J,8,8,24,34
5,act_tftt,act_stft,J,J,8,8,32,42
6,act_tftt,act_stft,J,J,8,8,40,50
7,act_tftt,act_stft,J,J,8,8,48,58
8,act_tftt,act_stft,J,J,8,8,56,66
9,act_tftt,act_stft,J,J,8,8,64,74
10,act_tftt,act_stft,J,J,8,8,72,82
11,act_tftt,act_stft,J,J,8,8,80,90
12,act_tftt,act_stft,J,J,8,8,88,98
13,act_tftt,act_stft,J,J,8,8,96,106
14,act_tftt,act_stft,J,J,8,8,104,114
15,act_tftt,act_stft,J,J,8,8,112,122
16,act_tftt,act_stft,J,J,8,8,120,130
17,act_tftt,act_stft,J,J,8,8,128,138
18,act_tftt,act_stft,J,J,8,8,136,146
19,act_tftt,act_stft,J,J,8,8,144,154
20,act_tftt,act_stft,J,J,8,8,152,162
1,act_tftt,act_rtft,J,F,0,10,0,10
2,act_tftt,act_rtft,J,F,0,10,0,20
3,act_tftt,act_rtft,F,F,5,5,5,25
4,act_tftt,act_rtft,F,J,10,0,15,25
5,act_tftt,act_rtft,J,J,8,8,23,33
6,act_tftt,act_rtft,J,F,0,10,23,43
7,act_tftt,act_rtft,J,F,0,10,23,53
8,act_tftt,act_rtft,F,F,5,5,28,58
9,act_tftt,act_rtft,F,J,10,0,38,58
10,act_tftt,act_rtft,J,J,8,8,46,66
11,act_tftt,act_rtft,J,F,0,10,46,76
12,act_tftt,act_rtft,J,F,0,10,46,86
13,act_tftt,act_rtft,F,F,5,5,51,91
14,act_tftt,act_rtft,F,J,10,0,61,91
15,act_tftt,act_rtft,J,J,8,8,69,99
16,act_tftt,act_rtft,J,F,0,10,69,109
17,act_tftt,act_rtft,J,F,0,10,69,119
18,act_tftt,act_rtft,F,F,5,5,74,124
19,act_tftt,act_rtft,F,J,10,0,84,124
20,act_tftt,act_rtft,J,J,8,8,92,132
1,act_tftt,act_htft,J,F,0,10,0,10
2,act_tftt,act_htft,J,F,0,10,0,20
3,act_tftt,act_htft,F,J,10,0,10,20
4,act_tftt,act_htft,J,F,0,10,10,30
5,act_tftt,act_htft,J,F,0,10,10,40
6,act_tftt,act_htft,F,F,5,5,15,45
7,act_tftt,act_htft,F,F,5,5,20,50
8,act_tftt,act_htft,F,F,5,5,25,55
9,act_tftt,act_htft,F,F,5,5,30,60
10,act_tftt,act_htft,F,F,5,5,35,65
11,act_tftt,act_htft,F,F,5,5,40,70
12,act_tftt,act_htft,F,F,5,5,45,75
13,act_tftt,act_htft,F,F,5,5,50,80
14,act_tftt,act_htft,F,F,5,5,55,85
15,act_tftt,act_htft,F,F,5,5,60,90
16,act_tftt,act_htft,F,F,5,5,65,95
17,act_tftt,act_htft,F,F,5,5,70,100
18,act_tftt,act_htft,F,F,5,5,75,105
19,act_tftt,act_htft,F,F,5,5,80,110
20,act_tftt,act_htft,F,F,5,5,85,115
1,act_tftt,act_np10,J,J,8,8,8,8
2,act_tftt,act_np10,J,J,8,8,16,16
3,act_tftt,act_np10,J,J,8,8,24,24
4,act_tftt,act_np10,J,J,8,8,32,32
5,act_tftt,act_np10,J,J,8,8,40,40
6,act_tftt,act_np10,J,J,8,8,48,48
7,act_tftt,act_np10,J,J,8,8,56,56
8,act_tftt,act_np10,J,J,8,8,64,64
9,act_tftt,act_np10,J,J,8,8,72,72
10,act_tftt,act_np10,J,J,8,8,80,80
11,act_tftt,act_np10,J,J,8,8,88,88
12,act_tftt,act_np10,J,J,8,8,96,96
13,act_tftt,act_np10,J,J,8,8,104,104
14,act_tftt,act_np10,J,J,8,8,112,112
15,act_tftt,act_np10,J,J,8,8,120,120
16,act_tftt,act_np10,J,J,8,8,128,128
17,act_tftt,act_np10,J,J,8,8,136,136
18,act_tftt,act_np10,J,J,8,8,144,144
19,act_tftt,act_np10,J,J,8,8,152,152
20,act_tftt,act_np10,J,J,8,8,160,160
1,act_tftt,act_np20,J,J,8,8,8,8
2,act_tftt,act_np20,J,F,0,10,8,18
3,act_tftt,act_np20,J,F,0,10,8,28
4,act_tftt,act_np20,F,F,5,5,13,33
5,act_tftt,act_np20,F,F,5,5,18,38
6,act_tftt,act_np20,F,F,5,5,23,43
7,act_tftt,act_np20,F,F,5,5,28,48
8,act_tftt,act_np20,F,F,5,5,33,53
9,act_tftt,act_np20,F,F,5,5,38,58
10,act_tftt,act_np20,F,F,5,5,43,63
11,act_tftt,act_np20,F,F,5,5,48,68
12,act_tftt,act_np20,F,F,5,5,53,73
13,act_tftt,act_np20,F,F,5,5,58,78
14,act_tftt,act_np20,F,F,5,5,63,83
15,act_tftt,act_np20,F,F,5,5,68,88
16,act_tftt,act_np20,F,F,5,5,73,93
17,act_tftt,act_np20,F,F,5,5,78,98
18,act_tftt,act_np20,F,F,5,5,83,103
19,act_tftt,act_np20,F,F,5,5,88,108
20,act_tftt,act_np20,F,F,5,5,93,113
1,act_stft,act_gpt4,F,J,10,0,10,0
2,act_stft,act_gpt4,J,F,0,10,10,10
3,act_stft,act_gpt4,F,F,5,5,15,15
4,act_stft,act_gpt4,F,J,10,0,25,15
5,act_stft,act_gpt4,J,F,0,10,25,25
6,act_stft,act_gpt4,F,F,5,5,30,30
7,act_stft,act_gpt4,F,J,10,0,40,30
8,act_stft,act_gpt4,J,F,0,10,40,40
9,act_stft,act_gpt4,F,F,5,5,45,45
10,act_stft,act_gpt4,F,J,10,0,55,45
11,act_stft,act_gpt4,J,F,0,10,55,55
12,act_stft,act_gpt4,F,F,5,5,60,60
13,act_stft,act_gpt4,F,J,10,0,70,60
14,act_stft,act_gpt4,J,F,0,10,70,70
15,act_stft,act_gpt4,F,F,5,5,75,75
16,act_stft,act_gpt4,F,J,10,0,85,75
17,act_stft,act_gpt4,J,F,0,10,85,85
18,act_stft,act_gpt4,F,F,5,5,90,90
19,act_stft,act_gpt4,F,J,10,0,100,90
20,act_stft,act_gpt4,J,F,0,10,100,100
1,act_stft,act_tft,F,J,10,0,10,0
2,act_stft,act_tft,J,F,0,10,10,10
3,act_stft,act_tft,F,J,10,0,20,10
4,act_stft,act_tft,J,F,0,10,20,20
5,act_stft,act_tft,F,J,10,0,30,20
6,act_stft,act_tft,J,F,0,10,30,30
7,act_stft,act_tft,F,J,10,0,40,30
8,act_stft,act_tft,J,F,0,10,40,40
9,act_stft,act_tft,F,J,10,0,50,40
10,act_stft,act_tft,J,F,0,10,50,50
11,act_stft,act_tft,F,J,10,0,60,50
12,act_stft,act_tft,J,F,0,10,60,60
13,act_stft,act_tft,F,J,10,0,70,60
14,act_stft,act_tft,J,F,0,10,70,70
15,act_stft,act_tft,F,J,10,0,80,70
16,act_stft,act_tft,J,F,0,10,80,80
17,act_stft,act_tft,F,J,10,0,90,80
18,act_stft,act_tft,J,F,0,10,90,90
19,act_stft,act_tft,F,J,10,0,100,90
20,act_stft,act_tft,J,F,0,10,100,100
1,act_stft,act_tftt,F,J,10,0,10,0
2,act_stft,act_tftt,J,J,8,8,18,8
3,act_stft,act_tftt,J,J,8,8,26,16
4,act_stft,act_tftt,J,J,8,8,34,24
5,act_stft,act_tftt,J,J,8,8,42,32
6,act_stft,act_tftt,J,J,8,8,50,40
7,act_stft,act_tftt,J,J,8,8,58,48
8,act_stft,act_tftt,J,J,8,8,66,56
9,act_stft,act_tftt,J,J,8,8,74,64
10,act_stft,act_tftt,J,J,8,8,82,72
11,act_stft,act_tftt,J,J,8,8,90,80
12,act_stft,act_tftt,J,J,8,8,98,88
13,act_stft,act_tftt,J,J,8,8,106,96
14,act_stft,act_tftt,J,J,8,8,114,104
15,act_stft,act_tftt,J,J,8,8,122,112
16,act_stft,act_tftt,J,J,8,8,130,120
17,act_stft,act_tftt,J,J,8,8,138,128
18,act_stft,act_tftt,J,J,8,8,146,136
19,act_stft,act_tftt,J,J,8,8,154,144
20,act_stft,act_tftt,J,J,8,8,162,152
1,act_stft,act_stft,F,F,5,5,5,5
2,act_stft,act_stft,F,F,5,5,10,10
3,act_stft,act_stft,F,F,5,5,15,15
4,act_stft,act_stft,F,F,5,5,20,20
5,act_stft,act_stft,F,F,5,5,25,25
6,act_stft,act_stft,F,F,5,5,30,30
7,act_stft,act_stft,F,F,5,5,35,35
8,act_stft,act_stft,F,F,5,5,40,40
